,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-api-sdk-ruby,Ruby
27,amazon-pay-sdk-csharp,C#
28,amazon-pay-sdk-java,Java
29,amazon-pay-sdk-php,PHP
30,.github,
31,ads-advanced-tools-docs,Jupyter Notebook
32,ads-pao-amznjs-gtm-template,Smarty
33,alexa-coho,JavaScript
34,alexa-skills-kit-js,
35,amazon-ads-advertiser-audience-normalization-sdk-py,Python
36,amazon-advertising-api-php-sdk,PHP
37,amazon-codeguru-profiler-for-spark,Java
38,amazon-frustration-free-setup-certification-tool,Python
39,amazon-hub-counter-api-docs,CSS
40,amazon-hub-counter-api-samples,Java
41,amazon-hub-counter-sdk-java,Java
42,amazon-hub-support,PowerShell
43,amazon-instant-access-sdk-java,Java
44,amazon-instant-access-sdk-net,C#
45,amazon-instant-access-sdk-php,PHP
46,amazon-instant-access-sdk-ruby,Ruby
47,amazon-launcher-integration-cordova-plugin,JavaScript
48,amazon-marketing-stream-examples,Python
49,amazon-mcf-plugin-for-magento-1,PHP
50,amazon-multi-token-completion,Python
51,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
52,amazon-pay-api-sdk-dotnet,C#
53,amazon-pay-api-sdk-java,Java
54,amazon-pay-api-sdk-nodejs,JavaScript
55,amazon-pay-api-sdk-php,PHP
56,amazon-pay-api-sdk-ruby,Ruby
57,amazon-pay-sdk-csharp,C#
58,amazon-pay-sdk-java,Java
59,amazon-pay-sdk-php,PHP
60,.github,
61,ads-advanced-tools-docs,Jupyter Notebook
62,ads-pao-amznjs-gtm-template,Smarty
63,alexa-coho,JavaScript
64,alexa-skills-kit-js,
65,amazon-ads-advertiser-audience-normalization-sdk-py,Python
66,amazon-advertising-api-php-sdk,PHP
67,amazon-codeguru-profiler-for-spark,Java
68,amazon-frustration-free-setup-certification-tool,Python
69,amazon-hub-counter-api-docs,CSS
70,amazon-hub-counter-api-samples,Java
71,amazon-hub-counter-sdk-java,Java
72,amazon-hub-support,PowerShell
73,amazon-instant-access-sdk-java,Java
74,amazon-instant-access-sdk-net,C#
75,amazon-instant-access-sdk-php,PHP
76,amazon-instant-access-sdk-ruby,Ruby
77,amazon-launcher-integration-cordova-plugin,JavaScript
78,amazon-marketing-stream-examples,Python
79,amazon-mcf-plugin-for-magento-1,PHP
80,amazon-multi-token-completion,Python
81,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
82,amazon-pay-api-sdk-dotnet,C#
83,amazon-pay-api-sdk-java,Java
84,amazon-pay-api-sdk-nodejs,JavaScript
85,amazon-pay-api-sdk-php,PHP
86,amazon-pay-api-sdk-ruby,Ruby
87,amazon-pay-sdk-csharp,C#
88,amazon-pay-sdk-java,Java
89,amazon-pay-sdk-php,PHP
90,.github,
91,ads-advanced-tools-docs,Jupyter Notebook
92,ads-pao-amznjs-gtm-template,Smarty
93,alexa-coho,JavaScript
94,alexa-skills-kit-js,
95,amazon-ads-advertiser-audience-normalization-sdk-py,Python
96,amazon-advertising-api-php-sdk,PHP
97,amazon-codeguru-profiler-for-spark,Java
98,amazon-frustration-free-setup-certification-tool,Python
99,amazon-hub-counter-api-docs,CSS
100,amazon-hub-counter-api-samples,Java
101,amazon-hub-counter-sdk-java,Java
102,amazon-hub-support,PowerShell
103,amazon-instant-access-sdk-java,Java
104,amazon-instant-access-sdk-net,C#
105,amazon-instant-access-sdk-php,PHP
106,amazon-instant-access-sdk-ruby,Ruby
107,amazon-launcher-integration-cordova-plugin,JavaScript
108,amazon-marketing-stream-examples,Python
109,amazon-mcf-plugin-for-magento-1,PHP
110,amazon-multi-token-completion,Python
111,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
112,amazon-pay-api-sdk-dotnet,C#
113,amazon-pay-api-sdk-java,Java
114,amazon-pay-api-sdk-nodejs,JavaScript
115,amazon-pay-api-sdk-php,PHP
116,amazon-pay-api-sdk-ruby,Ruby
117,amazon-pay-sdk-csharp,C#
118,amazon-pay-sdk-java,Java
119,amazon-pay-sdk-php,PHP
120,.github,
121,ads-advanced-tools-docs,Jupyter Notebook
122,ads-pao-amznjs-gtm-template,Smarty
123,alexa-coho,JavaScript
124,alexa-skills-kit-js,
125,amazon-ads-advertiser-audience-normalization-sdk-py,Python
126,amazon-advertising-api-php-sdk,PHP
127,amazon-codeguru-profiler-for-spark,Java
